record_time_s,sim_time_s,target_forward_speed_m_s,target_yaw_rate_rad_s,position_x_m,position_y_m,position_z_m,estimated_pitch_deg,truth_pitch_deg,estimated_pitch_rate_deg_s,truth_pitch_rate_deg_s,truth_yaw_deg,estimated_yaw_rate_deg_s,truth_yaw_rate_deg_s,estimated_forward_speed_m_s,truth_forward_speed_m_s,left_wheel_speed_rad_s,right_wheel_speed_rad_s,left_motor_torque_nm,right_motor_torque_nm,contact_count,controller_mode
0.002,85.33199999998253,0.0,0.0,2.1270102969159748,0.022567809073286964,0.06655148472056856,-2.4418786011369633,-3.7002826290191555,-132.89744896837962,-89.15106875068501,0.9930204171808995,0.17790324112212494,0.08362582389897849,0.6529050059020953,0.47984633825165607,4.094037214880807,4.094451227260993,-3.3971110292180247,-3.432723239863637,4,FREE
0.01,85.33999999998251,0.0,0.0,2.1297157797309283,0.022614572613201173,0.06640523849323986,-3.3645593173009862,-4.11818731477769,-113.45164119353323,-47.4987468907295,0.9922127819916969,-0.14981839375135628,-0.09236464105638596,0.5766336362654052,0.31767753060679654,2.259459124496539,2.25572754241073,-4.0,-4.0,4,FREE
0.020000000000000004,85.34999999998249,0.0,0.0,2.131007239528182,0.02263660190772543,0.06631364188834901,-4.047627976367254,-4.104693903877186,-62.18911191740268,13.555752244660653,0.9913962028240195,-0.3178798439826385,-0.07982660673416593,0.3736221182783924,0.08081181019007207,-0.31312537180930156,-0.31577041255438976,-4.0,-4.0,4,FREE
0.030000000000000013,85.35999999998246,0.0,0.0,2.1300175385025253,0.022618954413490537,0.06633085274896582,-4.156221890025684,-3.50669958321246,-2.949185010121724,70.26965999767471,0.9907528045182679,-0.15043512885398777,-0.13487686403628824,0.14644433213514538,-0.13937076906572535,-2.593455659246162,-2.599397651511966,-3.2897666168351156,-3.321054432194983,4,FREE
0.04000000000000002,85.36999999998244,0.0,0.0,2.1270452085591014,0.022566951920066892,0.06645013131660037,-3.667342139662751,-2.400600663034416,56.12555689129768,120.71894853822222,0.9891744513601536,0.020024714277595917,-0.2668268342168529,-0.08444479370825479,-0.3356728084831058,-4.703673558218837,-4.714203157875785,-3.2897666168351156,-3.321054432194983,4,FREE
0.05000000000000003,85.37999999998242,0.0,0.0,2.1231781936737777,0.02249967948169046,0.06663297902676417,-2.6623645470686155,-1.0660414290832556,106.89867824844396,134.31844877853115,0.9878994130414228,-0.24071731797091492,-0.20934528642899752,-0.281174157162525,-0.3896976343700018,-4.852818114258623,-4.859520459010612,-0.3913804152861739,-0.3866489646892766,4,FREE
0.06000000000000004,85.3899999999824,0.0,0.0,2.119361980533278,0.022433516022904273,0.06682769970762913,-1.3364609738701252,0.25542229931235655,132.69783462555392,129.19013559360226,0.9876294300839398,-0.2350462250108689,-0.0991395195958062,-0.38466616976493495,-0.37016713405032475,-4.2012416362744744,-4.20287023869191,2.6314003626729314,2.663001299699094,4,FREE
0.07000000000000005,85.39999999998237,0.0,0.0,2.1170318436340736,0.022393136705342404,0.06695981791876096,0.014653565768075525,1.195343114664891,137.31328433455013,85.19783649110138,0.9889514740379624,0.02868631905998046,0.09852304553584933,-0.40304213128842714,-0.19890475069117544,-2.3322502273089367,-2.3271164138760705,2.6314003626729314,2.663001299699094,4,FREE
0.08000000000000006,85.40999999998235,0.0,0.0,2.1167516104899193,0.022388321929905242,0.0669990273447669,1.0425048976366325,1.610148707218537,97.79251509676392,28.39516492348885,0.9908372761137281,0.7887860735707664,0.1534786344330961,-0.24613353676617408,0.02293731414889688,0.27197677174083046,0.2771007559741744,4.0,4.0,4,FREE
0.09000000000000007,85.41999999998232,0.0,0.0,2.1190121435999427,0.022427687268153217,0.06692470251676289,1.5795542062152128,1.3738528182553194,46.40768120732178,-37.12938304336654,0.9921038502647546,0.5335929779079068,0.13549203635025853,-0.04709334729600699,0.27892895512012167,2.9521563273224696,2.9575567820481456,3.3722659335742233,3.393438001787517,4,FREE
